Topo,Z,Corr,Theta,L,b,Update,K,VigilanceMode,Cost,C_mean,C_std,V_mean,V_std
BA,4,max,0.6,3,1.3,proportional,,amnesic,0.0,1.0,0.0,0.0,0.0
BA,4,max,0.6,3,1.4,proportional,,amnesic,0.0,1.0,0.0,0.0,0.0
BA,4,max,0.6,3,1.5,proportional,,amnesic,0.0,0.9976859333333331,0.0024555442745843857,0.0,0.0
BA,4,max,0.6,3,1.6,proportional,,amnesic,0.0,0.9985969333333332,0.004263844110137638,0.0,0.0
BA,4,max,0.6,3,1.7,proportional,,amnesic,0.0,0.9674846666666668,0.0952295854518612,0.0,0.0
BA,4,max,0.6,3,1.8,proportional,,amnesic,0.0,0.9212851333333334,0.13151420795861649,0.0,0.0
BA,4,max,0.6,3,1.9,proportional,,amnesic,0.0,0.8492779999999999,0.17432469573630568,0.0,0.0
BA,4,max,0.6,3,2.0,proportional,,amnesic,0.0,0.701866,0.17955130066424535,0.0,0.0
BA,4,max,0.6,3,1.0,proportional,,memory,0.0,0.9926969333333341,0.002501127642573305,0.05998000000000001,0.03975876758653366
BA,4,max,0.6,3,1.1,proportional,,memory,0.0,1.0,0.0,0.05078000000000001,0.03728795515980998
BA,4,max,0.6,3,1.2,proportional,,memory,0.0,1.0,0.0,0.04191999999999999,0.03213586158795186
BA,4,max,0.6,3,1.3,proportional,,memory,0.0,1.0,0.0,0.03816,0.0307384840224758
BA,4,max,0.6,3,1.4,proportional,,memory,0.0,1.0,0.0,0.031979999999999995,0.026157209331272323
BA,4,max,0.6,3,1.5,proportional,,memory,0.0,0.9994947333333333,0.0012741548118045572,0.03078,0.026930867048797366
BA,4,max,0.6,3,1.6,proportional,,memory,0.0,0.9989882,0.003129931466058299,0.024439999999999996,0.023526291675485107
BA,4,max,0.6,3,1.7,proportional,,memory,0.0,0.9568688000000001,0.13663696142497056,0.02024,0.01978945173571011
BA,4,max,0.6,3,1.8,proportional,,memory,0.0,0.9196332666666668,0.16174508549908612,0.016560000000000002,0.016819227092824452
BA,4,max,0.6,3,1.9,proportional,,memory,0.0,0.8788604666666667,0.15481719398124574,0.01302,0.013328150659412582
BA,4,max,0.6,3,2.0,proportional,,memory,0.0,0.7488070666666666,0.17798378367785211,0.01038,0.01059696182875073
BA,16,max,0.4,1,1.0,proportional,,amnesic,0.0,1.0,0.0,0.0,0.0
BA,16,max,0.4,1,1.1,proportional,,amnesic,0.0,1.0,0.0,0.0,0.0
BA,16,max,0.4,1,1.2,proportional,,amnesic,0.0,0.9959494000000001,0.040302961127440744,0.0,0.0
BA,16,max,0.4,1,1.3,proportional,,amnesic,0.0,0.9559858,0.16490673439157463,0.0,0.0
BA,16,max,0.4,1,1.4,proportional,,amnesic,0.0,0.8074888666666666,0.34361011842177563,0.0,0.0
BA,16,max,0.4,1,1.5,proportional,,amnesic,0.0,0.28563046666666664,0.3541646191416955,0.0,0.0
BA,16,max,0.4,1,1.6,proportional,,amnesic,0.0,0.013413133333333334,0.10099889860105736,0.0,0.0
BA,16,max,0.4,1,1.7,proportional,,amnesic,0.0,0.0,0.0,0.0,0.0
BA,16,max,0.4,1,1.8,proportional,,amnesic,0.0,0.0,0.0,0.0,0.0
BA,16,max,0.4,1,1.9,proportional,,amnesic,0.0,0.0,0.0,0.0,0.0
BA,16,max,0.4,1,2.0,proportional,,amnesic,0.0,0.0,0.0,0.0,0.0
BA,16,max,0.4,1,1.0,proportional,,memory,0.0,1.0,0.0,0.05901999999999999,0.21556947743129126
BA,16,max,0.4,1,1.1,proportional,,memory,0.0,1.0,0.0,0.045680000000000005,0.19448798831804495
BA,16,max,0.4,1,1.2,proportional,,memory,0.0,0.9924134000000001,0.054270125561306774,0.0426,0.19505804264372184
BA,16,max,0.4,1,1.3,proportional,,memory,0.0,0.9728481999999999,0.1339769220089125,0.021579999999999995,0.13950607011883032
BA,16,max,0.4,1,1.4,proportional,,memory,0.0,0.7566879333333334,0.3505193089798747,0.010860000000000002,0.09922832458527149
BA,16,max,0.4,1,1.5,proportional,,memory,0.0,0.24656773333333337,0.3173548722364217,0.0003,0.001072380529476361
