Topo,Z,Corr,Lmax,K,Theta,Lambda,b,REPS,STEPS,C_mean,C_std,SE_C,V_mean,V_std,SE_V
BA,4,max,1,0.5,0.0,2.0,2.0,50,15000,1.0,0.0,0.0,0.99696,0.0015094369811290578,0.00021346662502602152
BA,4,max,1,0.5,0.1,0.0,1.0,50,15000,1.0,0.0,0.0,0.9967199999999999,0.0018225257199831245,0.0002577440590973924
BA,4,max,1,0.5,0.1,0.0,1.1,50,15000,1.0,0.0,0.0,0.99676,0.002112439348241745,0.00029874403759740575
BA,4,max,1,0.5,0.1,0.0,1.2,50,15000,1.0,0.0,0.0,0.99684,0.0023694725151391836,0.0003350940166580122
BA,4,max,1,0.5,0.1,0.0,1.3,50,15000,1.0,0.0,0.0,0.99712,0.0013362634470792064,0.0001889761889762836
BA,4,max,1,0.5,0.1,0.0,1.4,50,15000,1.0,0.0,0.0,0.9966400000000002,0.0018948350851723235,0.00026797014759110787
BA,4,max,1,0.5,0.1,0.0,1.5,50,15000,1.0,0.0,0.0,0.9970399999999999,0.0014554724318928214,0.0002058348852842979
BA,4,max,1,0.5,0.1,0.0,1.6,50,15000,1.0,0.0,0.0,0.99688,0.0018400000000000016,0.0002602152954766497
BA,4,max,1,0.5,0.1,0.0,1.7,50,15000,1.0,0.0,0.0,0.9968799999999999,0.0013948476619330167,0.0001972612480950074
BA,4,max,1,0.5,0.1,0.0,1.8,50,15000,0.9952644,0.033149199999999934,0.0046880048221818104,0.9768399999999999,0.13956107766852477,0.01973691688182326
BA,4,max,1,0.5,0.1,0.0,1.9,50,15000,0.98,0.13999999999999999,0.019798989873223326,0.9769599999999999,0.1392909128407162,0.019698709805466955
BA,4,max,1,0.5,0.1,0.0,2.0,50,15000,0.98,0.13999999999999999,0.019798989873223326,0.9771599999999999,0.1393206890594502,0.019702920798703935
BA,4,max,1,0.5,0.1,0.1,1.0,50,15000,1.0,0.0,0.0,0.99684,0.001836954000512807,0.0002597845260980725
BA,4,max,1,0.5,0.1,0.1,1.1,50,15000,1.0,0.0,0.0,0.99684,0.0017012936254509406,0.00024059925186916127
BA,4,max,1,0.5,0.1,0.1,1.2,50,15000,1.0,0.0,0.0,0.9965999999999999,0.0018000000000000015,0.0002545584412271573
BA,4,max,1,0.5,0.1,0.1,1.3,50,15000,1.0,0.0,0.0,0.9967199999999999,0.001371714255958581,0.00019398969044771443
BA,4,max,1,0.5,0.1,0.1,1.4,50,15000,1.0,0.0,0.0,0.9965600000000001,0.0018778711350888818,0.0002655710827631655
BA,4,max,1,0.5,0.1,0.1,1.5,50,15000,1.0,0.0,0.0,0.9965599999999999,0.0021181123671797984,0.0002995463236295852
BA,4,max,1,0.5,0.1,0.1,1.6,50,15000,1.0,0.0,0.0,0.99684,0.001963262590689286,0.00027764725822525266
BA,4,max,1,0.5,0.1,0.1,1.7,50,15000,1.0,0.0,0.0,0.9964400000000001,0.0022729716232280615,0.0003214467296458313
BA,4,max,1,0.5,0.1,0.1,1.8,50,15000,1.0,0.0,0.0,0.99696,0.0017083325203250115,0.00024159470192866423
