Topo,Z,Corr,Lmax,K,Theta,Lambda,b,REPS,STEPS,C_mean,C_std,SE_C,V_mean,V_std,SE_V
BA,4,max,4,0.5,0.1,1.0,1.8,50,15000,1.0,0.0,0.0,0.99652,0.0021094074997496355,0.00029831526947174554
BA,4,max,4,0.5,0.1,1.0,1.9,50,15000,1.0,0.0,0.0,0.9967199999999999,0.002821630734167747,0.00039903884522687807
BA,4,max,4,0.5,0.1,1.0,2.0,50,15000,0.98,0.13999999999999999,0.019798989873223326,0.9773200000000002,0.13905372199261692,0.019665165954041677
BA,4,max,4,0.5,0.1,2.0,1.0,50,15000,1.0,0.0,0.0,0.99704,0.0014554724318928214,0.0002058348852842979
BA,4,max,4,0.5,0.1,2.0,1.1,50,15000,1.0,0.0,0.0,0.9968,0.0016492422502470659,0.00023323807579381226
BA,4,max,4,0.5,0.1,2.0,1.2,50,15000,1.0,0.0,0.0,0.9970399999999999,0.001509436981129058,0.00021346662502602155
BA,4,max,4,0.5,0.1,2.0,1.3,50,15000,1.0,0.0,0.0,0.99696,0.0017545369759569063,0.0002481289987083334
BA,4,max,4,0.5,0.1,2.0,1.4,50,15000,1.0,0.0,0.0,0.99696,0.0016608431593621372,0.00023487869209445138
BA,4,max,4,0.5,0.1,2.0,1.5,50,15000,1.0,0.0,0.0,0.99704,0.0014554724318928214,0.0002058348852842979
BA,4,max,4,0.5,0.1,2.0,1.6,50,15000,1.0,0.0,0.0,0.9967999999999998,0.0016970562748477155,0.0002400000000000002
BA,4,max,4,0.5,0.1,2.0,1.7,50,15000,1.0,0.0,0.0,0.97648,0.13950860045172842,0.019729495482652362
BA,4,max,4,0.5,0.1,2.0,1.8,50,15000,0.9894752,0.051594606161497227,0.007296579177888783,0.9570799999999999,0.1953700939243261,0.02762950365098874
BA,4,max,4,0.5,0.1,2.0,1.9,50,15000,0.9720632,0.14956328064655441,0.02115144199233707,0.9574399999999998,0.19422092163307225,0.027466986147009282
BA,4,max,4,0.5,0.1,2.0,2.0,50,15000,0.96,0.19595917942265428,0.02771281292110204,0.95696,0.19412583135688044,0.027453538351185254
BA,4,max,4,0.5,0.2,0.0,1.0,50,15000,1.0,0.0,0.0,0.9768799999999999,0.13956627672901503,0.019737652140008954
BA,4,max,4,0.5,0.2,0.0,1.1,50,15000,1.0,0.0,0.0,0.9568800000000001,0.19533157860417755,0.027624056762177416
BA,4,max,4,0.5,0.2,0.0,1.2,50,15000,1.0,0.0,0.0,0.9569600000000001,0.19534594544039044,0.027626088539639482
BA,4,max,4,0.5,0.2,0.0,1.3,50,15000,1.0,0.0,0.0,0.91724,0.27048338655081944,0.038252127365677326
BA,4,max,4,0.5,0.2,0.0,1.4,50,15000,1.0,0.0,0.0,0.91736,0.27051756024332324,0.03825696025561885
BA,4,max,4,0.5,0.2,0.0,1.5,50,15000,1.0,0.0,0.0,0.89716,0.2990574767498716,0.04229311395487449
BA,4,max,4,0.5,0.2,0.0,1.6,50,15000,1.0,0.0,0.0,0.85724,0.3458783346785398,0.04891458318334114
BA,4,max,4,0.5,0.2,0.0,1.7,50,15000,1.0,0.0,0.0,0.83764,0.3655784873320639,0.05170060548968455
BA,4,max,4,0.5,0.2,0.0,1.8,50,15000,0.8928542666666667,0.2739877182292342,0.038747714704344106,0.75748,0.4256738300624082,0.06019937036215578
BA,4,max,4,0.5,0.2,0.0,1.9,50,15000,0.8609603999999998,0.287417415587419,0.040646960718595214,0.7578000000000001,0.4258486585631097,0.06022409484583392
BA,4,max,4,0.5,0.2,0.0,2.0,50,15000,0.7877924000000001,0.27057831067551913,0.038265551664131994,0.5782400000000001,0.49206205137157244,0.06958808265788044
